period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788726191.579377,1788726221.579377,128,0,0,0,0,0,0,128,128,0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,51865,0,0.0,100.0,0,123,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,,,,,0.06498822677051264,569
2,1788726221.579377,1788726251.579377,128,0,1,3,0,0,3,128,3,125,0.1,469.2,34.2,34.03124713897705,34.03124713897705,34.03124713897705,34.03124713897705,0.967741935483871,52015,0,51.33161020278931,98.6632393176357,448,118,10,22.216902414957683,17.994267463684082,32.42754917144775,33.71050754547119,3,0.04999999582767521,647.3166126503592,4.383332967559527,0.9765100671140939,4.448601607134873,4.029776343771265,5.353949308344396,5.471653571862008,6.0,5.0,7.699999999999999,7.9399999999999995,12946.333333333334,14076.0,14085.9,14086.78,87.66666666666667,78.0,114.0,117.2,38839,263,2,0.0,0.0,0.0,0.0,,,,,0.11194831854132703,539
3,1788726251.579377,1788726281.579377,124,4,1,6,0,0,6,124,2,122,0.2,684.9333333333333,39.6,57.59830355644226,57.59830355644226,57.59830355644226,57.59830355644226,0.9651898734177216,52025,0,80.53673028945923,97.90268931537867,704,115,9,25.472419023513794,24.32454776763916,48.17148098945617,55.71293904304504,9,0.09999999443690014,1511.788804786563,16.166665767298856,0.7231420870234886,4.573976154076097,4.514841468541658,5.49685036222538,5.5002337826382055,20.428571428571427,12.0,60.49999999999996,73.69999999999997,15117.888888888889,14087.0,20609.2,20641.84,161.66666666666666,132.0,295.59999999999997,321.52,136061,1455,2,0.0,0.0,0.0,0.0,,,,,0.10998007607317517,509
4,1788726281.579377,1788726311.579377,124,4,1,3,0,0,3,124,3,121,0.1,609.3333333333334,48.56666666666667,89.95895290374756,89.95895290374756,89.95895290374756,89.95895290374756,0.0,52122,0,118.68221354484558,96.90931735560298,18240,112,12,37.539927224318184,28.74285125732422,86.85112974643707,89.33738827228547,12,0.09999999582767503,1540.149935739937,15.558332684189109,0.5594280607685433,4.36326685088808,4.325725439611741,5.495264383906868,5.499916586974503,20.428571428571427,12.0,60.49999999999996,73.69999999999997,15401.5,14635.0,20593.9,20638.78,155.58333333333334,128.0,283.44999999999993,319.09000000000003,184818,1867,2,0.0,0.0,0.0,0.0,,,,,0.14828231600555453,479
5,1788726311.579377,1788726341.579377,123,5,0,6,0,0,6,123,5,118,0.2,0.0,49.36666666666667,0.0,0.0,0.0,0.0,0.0,53104,0,0.0,100.0,0,112,11,47.94689969221751,42.814600229263306,96.6890023589134,104.99715525388716,18,0.11999999599456801,1908.7066029567104,24.059999196910884,0.3803929511849301,4.37717278150953,4.43315119233014,5.492092427269844,5.499282195647098,20.428571428571427,12.0,60.49999999999996,73.69999999999997,15905.888888888889,14635.0,22296.599999999995,24094.519999999997,200.5,171.5,379.2499999999999,430.2499999999999,286306,3609,2,0.0,0.0,0.0,0.0,,,,,0.1327295779750045,449
6,1788726341.579377,1788726371.579377,123,5,0,6,0,0,6,123,6,117,0.2,0.0,44.5,0.0,0.0,0.0,0.0,0.0,54049,0,0.0,100.0,0,113,10,60.29435701171557,48.60095465183258,117.45973714590072,127.93383922338485,24,0.13333332962459998,2183.9054948091302,28.866665863725895,0.2845023481290713,4.325772635774908,4.3637105985462155,5.39847922097212,5.498647804319694,20.428571428571427,12.0,60.49999999999996,73.69999999999997,16379.291666666666,16338.5,21793.949999999997,23935.879999999997,216.5,183.5,392.6499999999999,432.41999999999996,393103,5196,2,0.0,0.0,0.0,0.0,,,,,0.13166696854434579,419
7,1788726371.579377,1788726401.579377,126,2,0,5,0,0,5,126,8,118,0.16666666666666666,0.0,38.266666666666666,0.0,0.0,0.0,0.0,0.0,56173,0,0.0,100.0,0,116,10,75.37112708749443,72.14584398269653,156.55825901031494,162.6937183380127,29,0.13809523480279112,2339.9808965914604,29.680951673303348,0.2309394982784063,4.387093561932597,4.4202243711085,5.3358474483046905,5.49811914488019,20.428571428571427,12.0,60.49999999999996,73.69999999999997,16944.689655172413,17434.0,23074.799999999996,24351.92,214.93103448275863,184.0,385.3999999999999,430.11999999999995,491396,6233,2,0.0,0.0,0.0,0.0,,,,,0.13138924107951455,389
8,1788726401.579377,1788726431.579377,127,1,0,2,0,0,2,127,3,124,0.06666666666666667,0.0,53.5,0.0,0.0,0.0,0.0,0.0,56999,0,0.0,100.0,0,114,13,80.55714714911676,79.52764248847961,161.42091572284698,168.30224874019623,31,0.12916666397204007,2208.34578726365,28.19999941170217,0.21502175406457522,4.353705517816773,4.373849373622006,5.297182698143031,5.497907681104388,20.428571428571427,12.0,60.49999999999996,73.69999999999997,17096.870967741936,17686.0,22879.0,24338.2,218.32258064516128,187.0,382.5,429.2,530003,6768,2,0.0,0.0,0.0,0.0,,,,,0.1678077642939081,359
9,1788726431.579377,1788726461.579377,125,3,1,8,0,0,8,125,6,119,0.26666666666666666,698.2,54.7,241.48829627037048,241.48829627037048,241.48829627037048,241.48829627037048,0.990625,58217,0,266.6253218650818,93.05663224309683,192,115,10,100.17470906330989,94.85632157325745,196.09635798931123,229.83033782482138,39,0.14444444176591478,2563.218470987048,36.29999932686489,0.1950590953523505,4.397172695180641,4.4202243711085,5.4490206071842024,5.497061826001182,18.625,10.0,57.74999999999997,73.14999999999998,17745.358974358973,18489.0,22308.2,24283.32,251.30769230769232,246.0,409.70000000000005,803.2199999999985,692069,9801,2,0.0,0.0,0.0,0.0,,,,,0.1302904063273561,329
10,1788726461.579377,1788726491.579377,123,5,0,7,0,0,7,123,5,118,0.23333333333333334,0.0,36.9,0.0,0.0,0.0,0.0,0.0,59016,0,0.0,100.0,0,116,7,120.86942548855491,115.1720370054245,246.40127116441727,260.2084250926971,46,0.1533333307743073,2772.273287066031,36.99666604921819,0.24854368932038834,4.3738683496645265,4.397036872365253,5.478982604016018,5.835708558969983,16.25,11.5,46.74999999999996,70.95000000000003,18080.043478260868,18828.5,22715.75,24235.3,241.2826086956522,212.0,403.75,762.5499999999984,831682,11099,2,0.0,0.0,0.0,0.0,,,,,0.09918493026625608,299
