period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788732232.9479985,1788732262.9479985,62,2,0,0,0,0,0,62,62,0,0.0,0.0,7.566666666666666,0.0,0.0,0.0,0.0,0.0,24153,0,0.0,100.0,0,56,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.08472651717127899,569
2,1788732262.9479985,1788732292.9479985,64,0,0,2,0,0,2,64,4,60,0.06666666666666667,0.0,21.466666666666665,0.0,0.0,0.0,0.0,0.0,24675,0,0.0,100.0,0,55,9,17.419743180274963,17.419743180274963,19.1917436003685,19.34925474882126,2,0.03333333028687399,412.7166289469303,3.266666368113651,0.9815303430079155,3.0176686524998404,3.0176686524998404,3.189475959748248,3.2047477203925507,6.5,6.5,7.85,7.97,12381.5,12381.5,13916.45,14052.89,98.0,98.0,116.0,117.6,24763,196,1,0.0,0.0,0.0,0.0,,,,,0.13349262556727604,539
3,1788732292.9479985,1788732322.9479985,64,0,0,0,0,0,0,64,0,64,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0,24675,0,0.0,100.0,0,50,14,17.419743180274963,17.419743180274963,19.1917436003685,19.34925474882126,2,0.02222222086824025,275.1444276801167,2.1777776450875446,0.9815303430079155,3.0176686524998404,3.0176686524998404,3.189475959748248,3.2047477203925507,6.5,6.5,7.85,7.97,12381.5,12381.5,13916.45,14052.89,98.0,98.0,116.0,117.6,24763,196,1,0.0,0.0,0.0,0.0,,,,,0.2008677562853749,509
4,1788732322.9479985,1788732352.9479985,63,1,0,3,0,0,3,63,2,61,0.1,0.0,38.13333333333333,0.0,0.0,0.0,0.0,0.0,25016,0,0.0,100.0,0,47,16,26.852379417419435,21.711690664291382,40.54798669815063,41.450720920562745,5,0.04166666476262949,638.3083041646262,6.024999724676224,0.5647305808257522,2.799925436238101,2.8267716444460538,3.186039507638615,3.204060429970624,11.666666666666666,8.0,20.599999999999998,21.72,15319.4,14087.0,19921.0,20233.0,144.6,131.0,205.79999999999998,209.96,76597,723,1,0.0,0.0,0.0,0.0,,,,,0.23230740659031113,479
5,1788732352.9479985,1788732382.9479985,60,4,0,5,0,0,5,60,2,58,0.16666666666666666,0.0,41.03333333333333,0.0,0.0,0.0,0.0,0.0,25224,0,0.0,100.0,0,45,15,32.588747549057004,26.139523029327393,69.06511532068252,70.8391325688362,10,0.06666666422949906,1086.893293599215,13.246666182401462,0.29081081081081084,2.6731750206204152,2.6301645686403354,3.2178534447601397,3.223932721695312,11.666666666666666,8.0,20.599999999999998,21.72,16303.4,16772.0,21193.75,21771.55,198.7,188.0,349.99999999999994,364.4,163034,1987,1,0.0,0.0,0.0,0.0,,,,,0.2338853719124665,449
6,1788732382.9479985,1788732412.9479985,62,2,0,4,0,0,4,62,6,56,0.13333333333333333,0.0,37.36666666666667,0.0,0.0,0.0,0.0,0.0,26434,0,0.0,100.0,0,47,15,48.18380006722042,33.300835490226746,115.91145527362823,125.19292509555815,14,0.07777777540830925,1298.4388493324736,15.3777773093,0.20820433436532507,2.6032540107725346,2.4352430539503014,3.214476068685044,3.223257246480293,11.666666666666666,8.0,20.599999999999998,21.72,16694.214285714286,17857.0,21906.25,21914.05,197.71428571428572,172.5,393.2,430.63999999999993,233719,2768,1,0.0,0.0,0.0,0.0,,,,,0.24360244746659288,419
7,1788732412.9479985,1788732442.9479985,63,1,0,4,0,0,4,63,5,58,0.13333333333333333,0.0,33.36666666666667,0.0,0.0,0.0,0.0,0.0,26793,0,0.0,100.0,0,49,14,61.91473305225372,44.45350110530853,135.40739657878873,141.82842603206632,18,0.08571428347607055,1533.3380551987884,17.02857098391268,0.3027470431133155,2.6089189720452928,2.4825915677742696,3.2110986926099483,3.222581771265274,9.6,7.0,19.199999999999996,21.439999999999998,17888.944444444445,18320.5,23137.44999999999,28674.689999999988,198.66666666666666,170.0,389.8499999999999,429.9699999999999,322001,3576,1,0.0,0.0,0.0,0.0,,,,,0.24247817833500973,389
8,1788732442.9479985,1788732472.9479985,63,1,0,8,0,0,8,63,8,55,0.26666666666666666,0.0,32.1,0.0,0.0,0.0,0.0,0.0,28044,0,0.0,100.0,0,53,10,83.17677662005791,86.16658556461334,162.36969631910324,176.5946855545044,26,0.10833333085808494,2092.899952180486,22.279166157622317,0.35143889373364895,2.562426515338274,2.4825915677742696,3.1804079694098624,3.2212308208352356,9.555555555555555,8.0,17.999999999999996,21.2,19319.076923076922,18587.5,29481.5,30028.25,205.65384615384616,182.5,377.75,425.25,502296,5347,1,0.0,0.0,0.0,0.0,,,,,0.18667479331271752,359
9,1788732472.9479985,1788732502.9479985,62,2,1,3,0,0,3,62,2,60,0.1,881.0333333333333,28.9,240.86672830581665,240.86672830581665,240.86672830581665,240.86672830581665,0.9950617283950617,28049,0,267.5995445251465,86.06252372264862,128,51,11,97.72113194136784,99.85424733161926,218.68365626335137,238.5292158603668,29,0.10740740522599192,2182.6925482626943,20.766666244901266,0.44340025630072616,2.5625185995708444,2.4854899153548766,3.1635133547236034,3.220724214423971,9.0,7.5,16.499999999999993,20.900000000000006,20321.620689655174,19407.0,30009.8,31723.639999999996,193.3448275862069,173.0,375.79999999999995,423.4799999999999,589327,5607,1,0.0,0.0,0.0,0.0,,,,,0.21013362848514083,329
10,1788732502.9479985,1788732532.9479985,62,2,0,2,0,0,2,62,2,60,0.06666666666666667,0.0,30.533333333333335,0.0,0.0,0.0,0.0,0.0,28109,0,0.0,100.0,0,49,13,104.02402298681197,104.70910215377808,224.5506067276001,238.36225068569183,31,0.1033333314445284,2155.8232939275617,20.443332959654605,0.48784790278322226,2.577259512530347,2.5056583930670993,3.152250278266098,3.220386476816462,9.571428571428571,8.0,17.449999999999996,21.089999999999996,20862.8064516129,19463.0,30793.0,32117.8,197.83870967741936,180.0,374.5,422.29999999999995,646747,6133,1,0.0,0.0,0.0,0.0,,,,,0.22042904204043634,299
