timestamp,user_id,event_type,trace_id,details
1788733074.6713178,User-072,started,trace_0015,"46 requests remaining (advanced 4%), 16,735 tokens at start"
1788733074.7438076,User-073,started,trace_0203,"216 requests remaining (advanced 0%), 30,777 tokens at start"
1788733074.8090682,User-074,started,trace_0718,"7 requests remaining (advanced 12%), 28,535 tokens at start"
1788733074.8593345,User-075,started,trace_0559,"40 requests, 17,664 initial tokens"
1788733074.9097004,User-076,started,trace_0634,"104 requests, 18,467 initial tokens"
1788733074.9838355,User-077,started,trace_0202,"53 requests remaining (advanced 4%), 32,146 tokens at start"
1788733075.0473542,User-078,started,trace_0366,"123 requests remaining (advanced 2%), 24,902 tokens at start"
1788733075.1111968,User-079,started,trace_0269,"280 requests remaining (advanced 1%), 25,668 tokens at start"
1788733075.161464,User-080,started,trace_0725,"90 requests, 18,979 initial tokens"
1788733075.2313633,User-081,started,trace_0572,"75 requests remaining (advanced 1%), 23,482 tokens at start"
1788733075.2815711,User-082,started,trace_0739,"90 requests, 21,263 initial tokens"
1788733075.3505602,User-083,started,trace_0263,"39 requests remaining (advanced 7%), 23,230 tokens at start"
1788733075.4171386,User-084,started,trace_0461,"89 requests remaining (advanced 11%), 31,097 tokens at start"
1788733075.4827616,User-085,started,trace_0251,"6 requests remaining (advanced 14%), 29,372 tokens at start"
1788733075.5387337,User-086,started,trace_0482,"20 requests remaining (advanced 5%), 10,674 tokens at start"
1788733075.6114082,User-087,started,trace_0373,"34 requests remaining (advanced 11%), 31,646 tokens at start"
1788733075.6615665,User-088,started,trace_0074,"20 requests, 29,831 initial tokens"
1788733075.711874,User-089,started,trace_0671,"90 requests, 18,857 initial tokens"
1788733075.7785308,User-090,started,trace_0026,"1 requests remaining (advanced 67%), 20,068 tokens at start"
1788733075.828832,User-091,started,trace_0285,"454 requests, 17,188 initial tokens"
1788733075.8986778,User-092,started,trace_0403,"18 requests remaining (advanced 31%), 24,336 tokens at start"
1788733075.9489083,User-093,started,trace_0584,"80 requests, 19,835 initial tokens"
1788733076.0185666,User-094,started,trace_0267,"281 requests remaining (advanced 2%), 27,634 tokens at start"
1788733076.0687428,User-095,started,trace_0386,"143 requests, 19,584 initial tokens"
1788733076.1189485,User-096,started,trace_0658,"95 requests, 20,654 initial tokens"
1788733076.1914644,User-097,started,trace_0565,"11 requests remaining (advanced 8%), 30,736 tokens at start"
1788733076.2593088,User-098,started,trace_0379,"221 requests remaining (advanced 63%), 13,446 tokens at start"
1788733076.3096235,User-099,started,trace_0515,"15 requests, 22,114 initial tokens"
1788733076.3656986,User-100,started,trace_0600,"139 requests, 19,564 initial tokens"
1788733076.44539,User-101,started,trace_0635,"55 requests remaining (advanced 65%), 32,214 tokens at start"
1788733076.4955926,User-102,started,trace_0374,"7 requests, 28,542 initial tokens"
1788733076.5645573,User-103,started,trace_0012,"12 requests remaining (advanced 14%), 25,070 tokens at start"
1788733076.6297092,User-104,started,trace_0542,"175 requests remaining (advanced 7%), 27,857 tokens at start"
1788733076.6972816,User-105,started,trace_0641,"141 requests remaining (advanced 6%), 32,541 tokens at start"
1788733076.7659225,User-106,started,trace_0626,"58 requests remaining (advanced 66%), 27,480 tokens at start"
1788733076.8344338,User-107,started,trace_0573,"31 requests remaining (advanced 67%), 30,435 tokens at start"
1788733076.884751,User-108,started,trace_0695,"83 requests, 20,227 initial tokens"
1788733076.9568844,User-109,started,trace_0614,"4 requests remaining (advanced 43%), 26,943 tokens at start"
1788733077.0286875,User-110,started,trace_0691,"120 requests remaining (advanced 15%), 30,544 tokens at start"
1788733077.0958154,User-111,started,trace_0585,"81 requests remaining (advanced 46%), 26,353 tokens at start"
1788733077.1461313,User-112,started,trace_0275,"136 requests, 20,506 initial tokens"
1788733077.2186315,User-113,started,trace_0017,"167 requests remaining (advanced 35%), 25,650 tokens at start"
1788733077.288036,User-114,started,trace_0696,"94 requests remaining (advanced 53%), 27,879 tokens at start"
1788733077.355104,User-115,started,trace_0660,"86 requests remaining (advanced 62%), 21,581 tokens at start"
1788733077.4053879,User-116,started,trace_0229,"78 requests, 31,047 initial tokens"
1788733077.4555833,User-117,started,trace_0653,"33 requests, 18,756 initial tokens"
1788733077.5286162,User-118,started,trace_0011,"50 requests remaining (advanced 6%), 31,687 tokens at start"
1788733077.5789516,User-119,started,trace_0737,"84 requests, 17,646 initial tokens"
1788733077.629142,User-120,started,trace_0710,"19 requests, 18,946 initial tokens"
1788733077.6995792,User-121,started,trace_0288,"3 requests remaining (advanced 25%), 23,512 tokens at start"
1788733077.7714074,User-122,started,trace_0513,"32 requests remaining (advanced 9%), 24,011 tokens at start"
1788733077.8216417,User-123,started,trace_0356,"18 requests, 27,645 initial tokens"
1788733077.891763,User-124,started,trace_0432,"16 requests remaining (advanced 38%), 25,542 tokens at start"
1788733077.9555056,User-125,started,trace_0014,"115 requests remaining (advanced 6%), 25,352 tokens at start"
1788733078.0057852,User-126,started,trace_0596,"174 requests, 22,359 initial tokens"
1788733078.056024,User-127,started,trace_0731,"53 requests, 19,297 initial tokens"
1788733078.1197252,User-128,started,trace_0544,"76 requests remaining (advanced 3%), 14,549 tokens at start"
1788733640.125777,User-014,truncated,trace_0381,"14/285 requests, 0.0% cache hit"
1788733640.126087,User-129,started,trace_0300,"140 requests, 11,745 initial tokens"
1788733640.1263733,User-024,truncated,trace_0255,"1/13 requests, 0.0% cache hit"
1788733640.1264784,User-130,started,trace_0425,"544 requests, 19,105 initial tokens"
1788733640.1266627,User-032,truncated,trace_0279,"2/78 requests, 0.0% cache hit"
1788733640.1272807,User-131,started,trace_0619,"82 requests, 18,246 initial tokens"
1788733640.1274245,User-062,truncated,trace_0321,"12/153 requests, 0.0% cache hit"
1788733640.1275146,User-132,started,trace_0560,"71 requests, 20,195 initial tokens"
1788733640.127659,User-069,truncated,trace_0672,"1/200 requests, 0.0% cache hit"
1788733640.1284726,User-133,started,trace_0674,"16 requests, 24,792 initial tokens"
1788733640.1285906,User-073,truncated,trace_0203,"1/217 requests, 0.0% cache hit"
1788733640.128723,User-134,started,trace_0733,"29 requests, 18,381 initial tokens"
1788733640.128865,User-074,truncated,trace_0718,"1/8 requests, 0.0% cache hit"
1788733640.128977,User-135,started,trace_0605,"124 requests, 21,266 initial tokens"
1788733640.1290796,User-084,truncated,trace_0461,"11/100 requests, 0.0% cache hit"
1788733640.1295362,User-136,started,trace_0692,"65 requests, 17,578 initial tokens"
1788733640.1296868,User-085,truncated,trace_0251,"1/7 requests, 0.0% cache hit"
1788733640.1297748,User-137,started,trace_0491,"238 requests, 13,021 initial tokens"
1788733640.1298769,User-090,completed,trace_0026,"3/3 requests, 0.0% cache hit"
1788733640.129983,User-138,started,trace_0597,"116 requests, 17,854 initial tokens"
1788733640.13007,User-094,truncated,trace_0267,"5/286 requests, 0.0% cache hit"
1788733640.1301522,User-139,started,trace_0444,"380 requests, 12,943 initial tokens"
1788733640.1302662,User-097,truncated,trace_0565,"1/12 requests, 0.0% cache hit"
1788733640.130381,User-140,started,trace_0282,"52 requests, 16,735 initial tokens"
1788733640.130504,User-105,truncated,trace_0641,"9/150 requests, 0.0% cache hit"
1788733640.1305828,User-141,started,trace_0424,"1178 requests, 19,105 initial tokens"
1788733645.5901673,User-010,truncated,trace_0330,"39/119 requests, 0.0% cache hit"
1788733645.590425,User-142,started,trace_0043,"33 requests, 15,818 initial tokens"
1788733645.590595,User-012,truncated,trace_0292,"2/29 requests, 0.0% cache hit"
1788733645.5906637,User-143,started,trace_0716,"123 requests, 21,204 initial tokens"
1788733645.5907166,User-028,truncated,trace_0006,"2/46 requests, 0.0% cache hit"
1788733645.590781,User-144,started,trace_0669,"61 requests, 20,446 initial tokens"
1788733645.590858,User-049,truncated,trace_0273,"7/59 requests, 0.0% cache hit"
1788733645.5908997,User-145,started,trace_0284,"247 requests, 18,940 initial tokens"
1788733645.5909476,User-056,truncated,trace_0590,"2/8 requests, 0.0% cache hit"
1788733645.5909805,User-146,started,trace_0676,"11 requests, 17,268 initial tokens"
1788733645.5910494,User-067,truncated,trace_0312,"2/18 requests, 0.0% cache hit"
1788733645.5910928,User-147,started,trace_0268,"51 requests, 18,500 initial tokens"
1788733645.5911703,User-079,truncated,trace_0269,"3/282 requests, 0.0% cache hit"
1788733645.5912063,User-148,started,trace_0697,"90 requests, 20,481 initial tokens"
1788733645.591325,User-083,truncated,trace_0263,"4/42 requests, 0.0% cache hit"
1788733645.5913606,User-149,started,trace_0371,"16 requests, 21,687 initial tokens"
1788733645.591484,User-086,truncated,trace_0482,"2/21 requests, 0.0% cache hit"
1788733645.591537,User-150,started,trace_0649,"136 requests, 21,599 initial tokens"
1788733645.5915751,User-101,truncated,trace_0635,"103/157 requests, 0.0% cache hit"
1788733645.591641,User-151,started,trace_0137,"51 requests, 25,564 initial tokens"
1788733645.591792,User-103,truncated,trace_0012,"3/14 requests, 0.0% cache hit"
1788733645.5918355,User-152,started,trace_0283,"58 requests, 24,567 initial tokens"
1788733645.5918858,User-104,truncated,trace_0542,"14/188 requests, 0.0% cache hit"
1788733645.5919204,User-153,started,trace_0376,"149 requests, 24,936 initial tokens"
1788733645.5920074,User-110,truncated,trace_0691,"23/142 requests, 0.0% cache hit"
1788733645.5920537,User-154,started,trace_0194,"157 requests, 25,439 initial tokens"
1788733645.5921137,User-115,truncated,trace_0660,"141/226 requests, 0.0% cache hit"
1788733645.592147,User-155,started,trace_0642,"75 requests, 17,694 initial tokens"
1788733645.5922832,User-118,truncated,trace_0011,"4/53 requests, 0.0% cache hit"
1788733645.5923545,User-156,started,trace_0369,"11 requests, 24,718 initial tokens"
1788733645.5924902,User-128,truncated,trace_0544,"3/78 requests, 0.0% cache hit"
1788733645.5925267,User-157,started,trace_0368,"26 requests, 21,711 initial tokens"
