start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788380070629.725,0.000,5735.002,265.200,37028.632,1,18851,119,119,1,0.00,trace_0712,User-001,3.77
1788380070765.086,0.135,14946.122,114.359,40562.613,1,21916,225,225,1,0.00,trace_0714,User-003,8.74
1788380070816.545,0.187,19584.945,108.311,39514.105,1,18361,185,185,1,0.00,trace_0629,User-004,9.23
1788380070866.708,0.237,25538.077,96.571,38092.354,1,20311,131,131,1,0.00,trace_0568,User-005,10.36
1788380070898.416,0.269,8639.734,122.569,62815.423,1,13070,443,443,1,0.00,trace_0398,User-007,8.16
1788380070945.929,0.316,30257.926,83.463,61973.980,1,19408,381,381,1,0.00,trace_0707,User-008,11.98
1788380071256.471,0.627,33134.975,77.702,61418.681,1,12330,365,365,1,0.00,trace_0313,User-009,12.87
1788380071700.839,1.071,33787.861,29.150,41512.560,6,31170,266,266,1,88.71,trace_0396,User-006,34.31
1788380114909.253,44.280,7921.806,49.475,28849.840,1,26812,424,424,1,0.00,trace_0330,User-010,20.21
1788380121433.021,50.803,4693.043,49.318,18600.713,2,30151,283,283,1,72.77,trace_0714,User-003,20.28
1788380123233.623,52.604,9420.094,43.381,39005.859,1,24258,683,683,1,0.00,trace_0694,User-011,23.05
1788380137790.088,67.160,352.171,27.624,3501.265,2,13739,115,115,1,94.86,trace_0398,User-007,36.20
1788380140021.874,69.392,326.546,61.981,19416.649,2,19859,309,309,1,97.73,trace_0707,User-008,16.13
1788380145406.586,74.777,223.682,81.978,16701.256,3,13999,202,202,1,98.17,trace_0398,User-007,12.20
1788380146225.407,75.596,4756.718,88.193,14369.778,1,17368,110,110,1,0.00,trace_0292,User-012,11.34
1788380148601.927,77.972,7840.964,32.600,15306.356,1,19077,230,230,1,0.00,trace_0253,User-013,30.67
1788380150935.233,80.306,6665.130,28.050,12639.746,2,30762,214,214,1,87.08,trace_0330,User-010,35.65
1788380166153.009,95.523,220.335,23.463,3176.613,4,14307,127,127,1,98.20,trace_0398,User-007,42.62
1788380168589.946,97.960,318.634,42.129,15780.086,3,20355,368,368,1,97.48,trace_0707,User-008,23.74
1788380170413.034,99.783,4408.350,50.698,7703.698,2,29165,66,66,1,62.86,trace_0629,User-004,19.72
1788380170713.556,100.084,4106.990,37.635,10053.345,3,31148,159,159,1,98.77,trace_0330,User-010,26.57
1788380171698.326,101.069,3887.388,27.376,19875.042,2,21038,585,585,1,82.62,trace_0292,User-012,36.53
1788380173393.453,102.764,2279.128,35.306,6092.229,5,14511,109,109,1,98.67,trace_0398,User-007,28.32
1788380175011.272,104.382,1214.448,26.871,14408.273,2,20701,492,492,1,92.24,trace_0253,User-013,37.21
1788380183541.203,112.911,284.222,25.323,4589.093,6,14961,171,171,1,96.98,trace_0398,User-007,39.49
1788380192434.877,121.805,312.741,75.845,24962.235,4,20887,326,326,1,97.54,trace_0707,User-008,13.18
1788380192835.759,122.206,5499.074,64.959,23947.543,1,19127,285,285,1,0.00,trace_0381,User-014,15.39
1788380195237.958,124.608,3095.622,59.862,22610.531,7,15343,327,327,1,97.89,trace_0398,User-007,16.71
1788380195950.124,125.320,6752.476,59.850,18662.653,1,16209,200,200,1,0.00,trace_0687,User-015,16.71
1788380196559.986,125.930,6145.181,54.562,19294.658,3,21298,242,242,1,96.99,trace_0253,User-013,18.33
1788380203809.006,133.179,6480.520,43.137,57037.545,1,22705,1173,1173,1,0.00,trace_0704,User-016,23.18
1788380218698.989,148.069,247.553,91.282,19416.746,2,16531,211,211,1,98.05,trace_0687,User-015,10.96
1788380222350.865,151.721,6057.747,71.597,20377.170,1,20008,201,201,1,0.00,trace_0726,User-017,13.97
1788380222538.378,151.909,14065.847,39.700,52534.864,1,28209,970,970,1,0.00,trace_0378,User-018,25.19
1788380222898.395,152.269,13703.232,31.991,21637.020,8,15891,249,249,1,96.34,trace_0398,User-007,31.26
1788380226529.935,155.900,10073.025,39.521,25881.380,5,21394,401,401,1,97.60,trace_0707,User-008,25.30
1788380228929.560,158.300,7757.398,38.127,25486.382,2,20009,466,466,1,95.51,trace_0381,User-014,26.23
1788380240999.583,170.370,487.383,31.245,5549.062,4,22162,163,163,1,96.23,trace_0253,User-013,32.01
1788380244788.458,174.159,280.362,50.920,8020.221,2,20375,153,153,1,98.42,trace_0726,User-017,19.64
1788380248632.517,178.003,3355.512,30.598,7149.649,9,25044,125,125,1,63.24,trace_0398,User-007,32.68
1788380250221.174,179.591,1838.710,27.753,10803.021,3,17407,324,324,1,94.83,trace_0687,User-015,36.03
1788380254871.537,184.242,238.975,26.839,3620.678,3,20595,127,127,1,99.06,trace_0726,User-017,37.26
