timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788382818.625,0.000,0.00,0.00,0,0,452608,643225,0,0,643225,7706,0,29,0,0,0.000000,0.000000,190617,452608,0,190617,29,0.00,0.00
1788382819.645,1.020,1.52,0.00,1,0,452608,656295,0,0,643225,7706,0,29,0,0,0.000000,0.000000,190617,452608,0,190617,29,0.00,0.00
1788382820.658,2.033,1.71,0.00,1,7,452608,656295,0,0,643225,7706,0,29,0,0,0.000000,0.000000,190617,452608,0,190617,29,0.00,0.00
1788382821.671,3.047,1.81,0.00,1,7,452608,656295,0,0,643225,7706,0,29,0,0,0.000000,0.000000,190617,452608,0,190617,29,0.00,0.00
1788382822.685,4.060,2.39,0.00,2,6,452608,675148,0,0,656295,7707,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,0.99
1788382823.697,5.072,2.39,0.00,2,6,452608,675148,0,0,656295,7707,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,0.00
1788382824.709,6.085,2.48,0.00,2,6,452608,675148,0,0,656295,7710,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,2.96
1788382825.723,7.098,2.67,0.00,2,6,452608,675148,0,0,656295,7713,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,2.96
1788382826.743,8.118,2.77,0.00,2,6,452608,675148,0,0,656295,7715,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,1.96
1788382827.756,9.131,2.86,0.00,2,6,452608,675148,0,0,656295,7718,0,29,0,0,0.000000,0.000000,203687,452608,0,190617,29,0.00,2.96
1788382828.766,10.141,3.23,0.00,3,5,452608,697064,0,0,675148,7722,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,3.96
1788382829.778,11.153,3.53,0.00,3,5,452608,697064,0,0,675148,7727,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,4.94
1788382830.785,12.161,3.73,0.00,3,5,452608,697064,0,0,675148,7736,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,8.94
1788382831.798,13.173,3.81,0.00,3,5,452608,697064,0,0,675148,7739,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,2.96
1788382832.809,14.184,4.01,0.00,3,5,452608,697064,0,0,675148,7745,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,5.94
1788382833.821,15.196,4.09,0.00,3,5,452608,697064,0,0,675148,7749,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,3.95
1788382834.832,16.208,4.20,0.00,4,4,452608,715425,0,0,675148,7756,0,29,0,0,0.000000,0.000000,222540,452608,0,190617,29,0.00,6.92
1788382835.846,17.221,4.77,0.00,4,4,452608,715425,0,0,697064,7778,0,29,0,0,0.000000,0.000000,244456,452608,0,190617,29,0.00,21.71
1788382836.858,18.233,4.86,0.00,4,4,452608,715425,0,0,697064,7786,0,29,0,0,0.000000,0.000000,244456,452608,0,190617,29,0.00,7.90
1788382837.872,19.247,5.06,0.00,4,4,452608,715425,0,0,697064,7808,0,29,0,0,0.000000,0.000000,244456,452608,0,190617,29,0.00,21.69
1788382838.880,20.255,5.15,0.00,4,4,452608,715425,0,0,697064,7820,0,29,0,0,0.000000,0.000000,244456,452608,0,190617,29,0.00,11.91
1788382839.889,21.264,5.25,0.00,4,4,452608,715425,0,0,697064,7832,0,29,0,0,0.000000,0.000000,244456,452608,0,190617,29,0.00,11.89
1788382840.900,22.275,5.82,0.00,5,3,452608,735736,0,0,715425,7850,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,17.81
1788382841.914,23.289,5.92,0.00,5,3,452608,735736,0,0,715425,7866,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,15.77
1788382842.929,24.304,6.10,0.00,5,3,452608,735736,0,0,715425,7897,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,30.54
1788382843.942,25.317,6.20,0.00,5,3,452608,735736,0,0,715425,7914,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,16.78
1788382844.955,26.330,6.39,0.00,5,3,452608,735736,0,0,715425,7938,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,23.69
1788382845.968,27.343,6.49,0.00,6,2,452608,755144,0,0,715425,7949,0,29,0,0,0.000000,0.000000,262817,452608,0,190617,29,0.00,10.86
1788382846.980,28.356,7.07,0.00,6,2,452608,755144,0,0,735736,7984,0,29,0,0,0.000000,0.000000,283128,452608,0,190617,29,0.00,34.56
1788382847.991,29.366,6.04,0.00,5,2,452608,755144,0,0,735736,7998,0,30,0,0,0.000000,0.000000,283128,452608,0,209470,30,0.00,13.85
1788382849.005,30.380,6.15,0.00,5,2,452608,755144,0,0,735736,8009,0,30,0,0,0.000000,0.000000,283128,452608,0,209470,30,0.00,10.85
1788382850.016,31.391,6.32,0.00,5,2,452608,755144,0,0,735736,8040,0,30,0,0,0.000000,0.000000,283128,452608,0,209470,30,0.00,30.67
1788382851.029,32.404,6.42,0.00,5,2,452608,755144,0,0,735736,8052,0,30,0,0,0.000000,0.000000,283128,452608,0,209470,30,0.00,11.84
1788382852.041,33.417,7.01,0.00,6,1,452608,767474,0,0,755144,8074,0,30,0,0,0.000000,0.000000,302536,452608,0,209470,30,0.00,21.73
1788382853.052,34.427,7.11,0.00,6,1,452608,767474,0,0,755144,8081,0,30,0,0,0.000000,0.000000,302536,452608,0,209470,30,0.00,6.93
1788382854.065,35.440,7.28,0.00,6,1,452608,767474,0,0,755144,8107,0,30,0,0,0.000000,0.000000,302536,452608,0,209470,30,0.00,25.68
1788382855.077,36.453,8.83,0.00,7,0,480576,798642,0,0,755144,8125,0,30,0,0,0.000000,0.000000,302536,452608,0,209470,30,89.73,17.77
1788382856.124,37.499,8.95,0.00,8,0,480576,825454,0,0,798642,8159,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,32.49
1788382857.136,38.511,9.44,0.00,8,0,480576,825454,0,0,798642,8180,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,20.75
1788382858.144,39.519,9.65,0.00,8,0,480576,825454,0,0,798642,8213,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,32.74
1788382859.156,40.531,9.75,0.00,8,0,480576,825454,0,0,798642,8228,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,14.82
1788382860.168,41.543,9.91,0.00,8,0,480576,825454,0,0,798642,8269,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,40.51
1788382861.181,42.556,10.02,0.00,8,0,480576,825454,0,0,798642,8302,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,32.57
1788382862.194,43.569,10.10,0.00,8,0,480576,825454,0,0,798642,8323,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,20.73
1788382863.211,44.586,10.21,0.00,8,0,480576,825454,0,0,798642,8343,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,19.68
1788382864.224,45.599,10.23,0.00,8,0,480576,825454,0,0,798642,8363,0,30,0,0,0.000000,0.000000,318066,480576,0,209470,30,0.00,19.74
1788382865.237,46.612,9.37,0.00,8,0,480576,825454,0,0,825454,8585,0,30,0,0,0.000000,0.000000,344878,480576,0,209470,30,0.00,219.11
1788382866.250,47.625,9.39,0.00,8,0,480576,825454,0,0,825454,8934,0,30,0,0,0.000000,0.000000,344878,480576,0,209470,30,0.00,344.45
1788382867.263,48.638,6.99,0.00,6,0,480576,825454,0,0,825454,9175,0,32,0,0,0.000000,0.000000,344878,480576,0,251697,32,0.00,237.89
1788382868.277,49.652,5.90,0.00,5,0,480576,825454,0,0,825454,9393,0,33,0,0,0.000000,0.000000,344878,480576,0,270058,33,0.00,215.04
1788382869.290,50.665,5.90,0.00,5,0,480576,825454,0,0,825454,9592,0,33,0,0,0.000000,0.000000,344878,480576,0,270058,33,0.00,196.50
1788382870.304,51.680,4.33,0.00,4,0,480576,825454,0,0,825454,9808,0,34,0,0,0.000000,0.000000,344878,480576,0,273258,34,0.00,212.89
1788382871.317,52.693,3.44,0.00,3,0,480576,825454,0,0,825454,9985,0,35,0,0,0.000000,0.000000,344878,480576,0,286328,35,0.00,174.71
1788382872.331,53.706,3.44,0.00,3,0,480576,825454,0,0,825454,10157,0,35,0,0,0.000000,0.000000,344878,480576,0,286328,35,0.00,169.69
1788382873.344,54.719,0.00,0.00,0,0,480576,825454,0,0,825454,10248,0,38,0,0,0.000000,0.000000,344878,480576,0,344878,38,0.00,89.86
1788382874.352,55.727,0.00,0.00,0,0,480576,825454,0,0,825454,10248,0,38,0,0,0.000000,0.000000,344878,480576,0,344878,38,0.00,0.00
1788382875.364,56.739,0.00,0.00,0,0,480576,825454,0,0,825454,10248,0,38,0,0,0.000000,0.000000,344878,480576,0,344878,38,0.00,0.00
1788382876.377,57.752,0.92,0.00,1,0,493600,839192,0,0,839192,10326,0,38,0,0,0.000000,0.000000,345592,493600,0,344878,38,94.80,77.01
1788382877.391,58.766,0.00,0.00,0,0,493600,839192,0,0,839192,10363,0,39,0,0,0.000000,0.000000,345592,493600,0,345592,39,0.00,36.47
1788382878.403,59.779,2.35,0.00,1,0,515456,869344,0,0,839192,10363,0,39,0,0,0.000000,0.000000,345592,493600,0,345592,39,72.49,0.00
