period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788382015.6649225,1788382045.6649225,0,1,2,2,2,2,0,0,0,0,0.06666666666666667,1358.9,11.466666666666667,6.170130729675293,6.170130729675293,6.434104084968567,6.4575683832168576,0.0,636,0,19.057379722595215,36.475400924682624,40704,0,0,6.170130729675293,6.170130729675293,6.434104084968567,6.4575683832168576,2,0.06666666295793341,1358.8999244030358,11.466666028764548,0.0,53.18422197285748,53.18422197285748,58.256602641175576,58.70748092280385,0.0,0.0,0.0,0.0,20383.5,20383.5,21762.75,21885.35,172.0,172.0,219.7,223.94,40767,344,0,0.0,0.0,0.0,0.0,,,,,0.0,569
2,1788382045.6649225,1788382075.6649225,1,0,1,1,1,1,0,1,1,0,0.03333333333333333,1005.0666666666667,9.433333333333334,3.261592388153076,3.261592388153076,3.261592388153076,3.261592388153076,0.7276595744680852,1050,0,9.04023790359497,69.86587365468343,8192,1,0,5.200617949167888,5.876827001571655,6.404773712158203,6.451702308654785,3,0.049999998609224994,1181.9833004558757,10.449999709328024,0.3092224231464738,51.72293571768321,48.80036320733465,57.818216764623294,58.61980374749339,16.0,16.0,16.0,16.0,23639.666666666668,21916.0,29328.399999999998,29987.28,209.0,225.0,277.2,281.84,70919,627,0,0.18121517643937385,0.0,0.6161315998938708,0.7031148845847703,,,,,0.015238785244219066,539
3,1788382075.6649225,1788382105.6649225,0,1,1,1,0,0,1,0,0,0,0.03333333333333333,612.0333333333333,6.166666666666667,5.253927707672119,5.253927707672119,5.253927707672119,5.253927707672119,0.0,1050,0,8.919861793518066,70.26712735493979,18304,0,0,5.213945388793945,5.565377354621887,6.375443339347839,6.445836234092712,4,0.04444444362028147,991.9999816046824,9.022222054917139,0.24568965517241378,51.34016335080236,49.496104728747234,57.52594735675325,58.56134986591938,16.0,16.0,16.0,16.0,22320.0,20383.5,28916.6,29904.92,203.0,205.0,274.29999999999995,281.26,89280,812,0,0.18121517643937385,0.0,0.6161315998938708,0.7031148845847703,,,,,0.0,509
4,1788382105.6649225,1788382135.6649225,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0,0.0,100.0,0,0,0,5.213945388793945,5.565377354621887,6.375443339347839,6.445836234092712,4,0.03333333286974166,743.9999896526338,6.766666572557557,0.24568965517241378,51.34016335080236,49.496104728747234,57.52594735675325,58.56134986591938,16.0,16.0,16.0,16.0,22320.0,20383.5,28916.6,29904.92,203.0,205.0,274.29999999999995,281.26,89280,812,0,0.18121517643937385,0.0,0.6161315998938708,0.7031148845847703,,,,,0.0,479
5,1788382135.6649225,1788382165.6649225,0,1,1,1,1,1,0,0,0,0,0.03333333333333333,972.1666666666666,2.2,4.10144829750061,4.10144829750061,4.10144829750061,4.10144829750061,0.6285714285714286,1219,0,5.3648316860198975,82.117227713267,10816,0,0,4.9914459705352785,5.253927707672119,6.346112966537476,6.43997015953064,5,0.033333332962459994,789.6333245477148,5.853333268207975,0.34001082837033025,51.361960448972376,50.19184625015982,57.34599016289922,58.52535842714858,79.0,79.0,135.7,140.74,23689.0,21916.0,29954.6,30112.52,175.6,185.0,271.4,280.68,118445,878,0,0.270492456598096,0.0,0.7054088800525933,0.720970340616515,,,,,0.0,449
6,1788382165.6649225,1788382195.6649225,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536,0,0.0,100.0,0,1,0,4.9914459705352785,5.253927707672119,6.346112966537476,6.43997015953064,5,0.027777777520226844,658.0277716766537,4.877777732551834,0.34001082837033025,51.361960448972376,50.19184625015982,57.34599016289922,58.52535842714858,79.0,79.0,135.7,140.74,23689.0,21916.0,29954.6,30112.52,175.6,185.0,271.4,280.68,118445,878,0,0.22541038049841333,0.0,0.7005459236263677,0.7199977493312699,,,,,0.017122501962204884,419
7,1788382195.6649225,1788382225.6649225,0,1,2,2,1,1,1,0,0,0,0.06666666666666667,1099.0666666666666,17.2,4.68618643283844,4.68618643283844,5.81516865491867,5.915522630214691,0.0,1733,0,16.303699731826782,45.654334227244064,32896,0,0,4.904228959764753,5.253927707672119,6.30658745765686,6.432065057754516,7,0.0333333330684238,721.0333276030752,6.638095185340397,0.265988987717069,56.548062411497654,51.44914884165243,76.60882817025244,82.7077862309524,79.0,79.0,135.7,140.74,21631.0,20311.0,29855.899999999998,30092.78,199.14285714285714,185.0,354.3999999999999,378.87999999999994,151417,1394,0,0.19320889757006857,0.0,0.6956829672001421,0.7190251580460247,,,,,0.0,389
8,1788382225.6649225,1788382255.6649225,0,1,1,3,3,3,0,0,0,0,0.1,1825.8333333333333,23.166666666666668,1.0965596834818523,0.6112895011901855,2.1468955755233763,2.2833938932418825,0.8405627198124267,1869,0,13.151390790939331,56.16203069686889,8704,0,0,3.761928176879883,3.766605019569397,6.228163957595824,6.41638035774231,10,0.04166666637692187,859.1333273590274,8.704166606138978,0.41848164281269445,61.34151435972713,56.80715469135261,86.31167529462721,87.672573180918,38.4,12.0,116.79999999999998,136.96,20619.2,20202.0,29707.85,30063.170000000002,208.9,213.0,339.0999999999999,375.82,206192,2089,0,0.3896739046366584,0.31380078861649235,0.9430497115480814,0.9472140337656932,,,,,0.0,359
9,1788382255.6649225,1788382285.6649225,0,1,1,2,2,2,0,0,0,0,0.06666666666666667,1753.1666666666667,16.3,1.380936622619629,1.380936622619629,1.3838147401809693,1.3840705728530884,0.8766788766788767,1970,0,11.901998281478882,60.32667239507039,6464,0,0,3.3650962511698403,3.34667706489563,6.175881624221802,6.405923891067506,12,0.04444444416972345,958.4703644458518,9.54814808912892,0.5115298785023555,60.0497396565223,55.3674100617531,85.93364810399088,87.59696774279072,30.857142857142858,12.0,104.1999999999999,134.43999999999994,21565.583333333332,20848.5,29609.149999999998,30043.43,214.83333333333334,224.0,328.8999999999999,373.7800000000001,258787,2578,0,0.4704378443313902,0.6434678368422426,0.9418929553765225,0.9469826825313815,,,,,0.0,329
10,1788382285.6649225,1788382315.6649225,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,1998,0,0.0,100.0,0,0,1,3.3650962511698403,3.34667706489563,6.175881624221802,6.405923891067506,12,0.039999999777475995,862.6233285344733,8.593333285527759,0.5115298785023555,60.0497396565223,55.3674100617531,85.93364810399088,87.59696774279072,30.857142857142858,12.0,104.1999999999999,134.43999999999994,21565.583333333332,20848.5,29609.149999999998,30043.43,214.83333333333334,224.0,328.8999999999999,373.7800000000001,258787,2578,0,0.4704378443313902,0.6434678368422426,0.9418929553765225,0.9469826825313815,,,,,0.0,299
