start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788384737017.998,0.000,5962.155,30.627,9576.132,1,18851,119,71,1,0.00,trace_0712,User-001,32.65
1788384753856.186,16.838,6459.040,33.737,14016.094,1,21915,225,139,1,0.00,trace_0714,User-003,29.64
1788384784989.826,47.972,3240.174,37.118,13707.529,2,30151,283,164,1,72.77,trace_0714,User-003,26.94
1788384804777.817,67.760,5259.623,32.426,11096.263,1,18361,181,114,1,0.00,trace_0629,User-004,30.84
1788384875951.466,138.933,4072.670,28.625,5933.286,2,29163,66,31,1,62.86,trace_0629,User-004,34.93
1788384925959.412,188.941,5916.583,32.523,10144.559,1,20311,131,81,1,0.00,trace_0568,User-005,30.75
1788384950162.282,213.144,3477.924,23.655,12561.581,1,12661,385,205,1,0.00,trace_0396,User-006,42.27
1788384968762.949,231.745,353.408,24.389,5231.267,2,13298,201,109,1,95.17,trace_0396,User-006,41.00
1788384980048.587,243.031,2317.943,28.302,9874.630,3,20096,268,144,1,66.13,trace_0396,User-006,35.33
1788384994977.818,257.960,634.249,32.049,7845.164,4,21389,226,134,1,93.99,trace_0396,User-006,31.20
1788385010882.561,273.865,1391.029,28.725,7768.008,5,24728,223,111,1,86.49,trace_0396,User-006,34.81
1788385024721.292,287.703,1401.155,33.430,10260.057,6,27877,266,145,1,88.71,trace_0396,User-006,29.91
1788385070059.463,333.041,910.755,26.134,47821.555,7,29710,1796,727,1,93.94,trace_0396,User-006,38.26
1788385125953.349,388.935,936.594,31.079,4137.771,8,31569,104,50,1,94.09,trace_0396,User-006,32.18
1788385190175.958,453.158,336.627,38.232,9168.163,9,31772,232,135,1,99.39,trace_0396,User-006,26.16
1788385203420.180,466.402,418.885,35.288,6241.354,10,32147,166,89,1,98.60,trace_0396,User-006,28.34
1788385214714.317,477.696,3561.810,25.066,14641.061,1,13070,443,247,1,0.00,trace_0398,User-007,39.89
1788385233398.052,496.380,363.650,23.073,2993.948,2,13739,115,59,1,94.86,trace_0398,User-007,43.34
1788385240436.742,503.419,241.540,25.598,5386.659,3,14000,202,113,1,98.17,trace_0398,User-007,39.07
1788385249874.740,512.857,250.423,25.617,3478.159,4,14308,127,71,1,98.20,trace_0398,User-007,39.04
1788385257398.604,520.381,226.270,20.532,2443.715,5,14506,109,49,1,98.67,trace_0398,User-007,48.70
1788385263886.006,526.868,302.317,26.791,4856.831,6,14956,171,98,1,96.98,trace_0398,User-007,37.33
1788385275795.033,538.777,275.531,21.019,7127.844,7,15337,327,145,1,97.89,trace_0398,User-007,47.58
1788385287971.145,550.953,331.051,25.755,6718.180,8,15885,249,134,1,96.34,trace_0398,User-007,38.83
1788385298757.442,561.739,3268.630,27.125,6632.158,9,25038,125,59,1,63.24,trace_0398,User-007,36.87
1788385311466.180,574.448,1909.956,28.762,9273.088,10,29590,257,117,1,84.57,trace_0398,User-007,34.77
1788385325817.492,588.799,433.013,34.883,9537.425,11,30078,262,143,1,98.50,trace_0398,User-007,28.67
