period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
11,1788728826.9239235,1788728856.9239235,64,0,0,1,0,0,1,64,2,62,0.03333333333333333,0.0,30.8,0.0,0.0,0.0,0.0,0.0,29360,0,0.0,100.0,0,49,15,112.42794289733425,113.4591155052185,246.03427720069882,261.5068645763397,33,0.09999999862728699,2064.9908807445104,19.68484821463201,0.41833619538256056,2.3021250463889302,2.3496706808590737,2.674204135432228,3.1901855599093905,8.923076923076923,8.0,15.0,15.0,20649.909090909092,19464.0,29988.8,31629.28,196.84848484848484,177.0,373.2,415.68,681447,6496,1,0.0,0.0,0.0,0.0,,,,,0.25353330762520543,269
12,1788728856.9239235,1788728886.9239235,62,2,0,5,0,0,5,62,3,59,0.16666666666666666,0.0,32.46666666666667,0.0,0.0,0.0,0.0,0.0,29894,0,0.0,100.0,0,47,15,132.00548429865586,126.21822845935822,284.1696110248566,295.517316672802,38,0.10555555422732861,2281.563860179508,20.73888862792725,0.5081252477209671,2.330296172424046,2.369930016243434,2.6882186240142856,3.154600241499838,11.944444444444445,10.0,20.24999999999995,44.04999999999994,21614.815789473683,20620.0,31576.05,32175.300000000003,196.47368421052633,176.0,369.95,413.1300000000001,821363,7466,1,0.0,0.0,0.0,0.0,,,,,0.22898578939552205,239
13,1788728886.9239235,1788728916.9239235,62,2,0,3,0,0,3,62,3,59,0.1,0.0,37.8,0.0,0.0,0.0,0.0,0.0,30436,0,0.0,100.0,0,45,17,142.70861245364677,134.75988006591797,291.415696144104,308.079634475708,41,0.10512820390711328,2290.492281087635,20.848717706554588,0.5141877598657816,2.325012032389527,2.3688729110163056,2.6850409877451384,3.133249050454105,12.1,11.0,16.750000000000025,43.34999999999995,21787.60975609756,20692.0,31527.0,32160.0,198.3170731707317,177.0,368.0,411.6000000000001,893292,8131,1,0.0,0.0,0.0,0.0,,,,,0.25323878732514415,209
14,1788728916.9239235,1788728946.9239235,63,1,0,3,0,0,3,63,4,59,0.1,0.0,41.9,0.0,0.0,0.0,0.0,0.0,30832,0,0.0,100.0,0,44,19,149.50626092607325,138.12756395339966,312.31023012399675,338.5798967719078,44,0.10476190363198452,2276.454737351826,21.673809290044435,0.4799155773420479,2.3170505655757108,2.3592717959376897,2.681831251319846,3.1118978594083715,12.1,11.0,16.750000000000025,43.34999999999995,21729.795454545456,20787.0,31308.15,32144.7,206.88636363636363,176.5,379.05,572.7900000000001,956111,9103,1,0.0,0.0,0.0,0.0,,,,,0.27454783022152673,179
15,1788728946.9239235,1788728976.9239235,60,4,0,3,0,0,3,60,0,60,0.1,0.0,44.733333333333334,0.0,0.0,0.0,0.0,0.0,30832,0,0.0,100.0,0,39,21,158.37053404463097,147.99185872077942,324.96865925788876,338.4277450323105,47,0.10444444339304795,2237.1799774792885,22.448888662905755,0.4736127279782693,2.327548869958158,2.370987121470562,2.678621514894554,3.0905466683626384,12.19047619047619,11.0,15.0,43.00000000000003,21419.808510638297,20692.0,31089.299999999992,32129.399999999998,214.93617021276594,185.0,416.69999999999976,597.1199999999999,1006731,10102,1,0.0,0.0,0.0,0.0,,,,,0.30571706333309623,149
16,1788728976.9239235,1788729006.9239235,58,6,0,5,0,0,5,58,3,55,0.16666666666666666,0.0,46.733333333333334,0.0,0.0,0.0,0.0,0.0,31302,0,0.0,100.0,0,38,20,178.2307600241441,169.6948688030243,358.9308734536171,377.31050098419195,52,0.10833333231094812,2295.039561674122,23.170833114660866,0.4660625444207534,2.3424794876339523,2.3947368282695587,2.69457389655258,3.1202875231747984,12.043478260869565,11.0,15.0,42.30000000000004,21184.98076923077,20429.5,31330.1,32103.9,213.8846153846154,186.5,403.94999999999976,588.2200000000004,1101619,11122,1,0.0,0.0,0.0,0.0,,,,,0.30499074632192813,119
17,1788729006.9239235,1788729036.9239235,59,5,0,5,0,0,5,59,6,53,0.16666666666666666,0.0,48.9,0.0,0.0,0.0,0.0,0.0,32584,0,0.0,100.0,0,40,19,194.58988654822633,185.74994134902954,372.42159032821655,381.49635892868037,57,0.11176470488962968,2336.2588027781517,23.968627238084796,0.4555525965379494,2.3433792960052084,2.39253878179967,2.6892778361040013,3.0911067315516845,15.04,11.0,44.39999999999992,70.51999999999995,20903.36842105263,20311.0,31240.6,32078.399999999998,214.4561403508772,188.0,391.19999999999976,579.3199999999996,1191492,12224,1,0.0,0.0,0.0,0.0,,,,,0.3033022464660684,89
18,1788729036.9239235,1788729066.9239235,60,4,0,7,0,0,7,60,8,52,0.23333333333333334,0.0,39.3,0.0,0.0,0.0,0.0,0.0,33780,0,0.0,100.0,0,43,17,210.34060952812433,217.34723389148712,375.3155114173889,390.6045611548424,64,0.11851851752429016,2475.261090346636,25.005555345788906,0.44362581994486167,2.338212589647865,2.3817629516351158,2.7453080764086755,3.063891065886381,19.357142857142858,12.0,67.54999999999995,124.45000000000003,20885.015625,20068.5,31003.849999999995,32042.699999999997,210.984375,186.5,379.04999999999995,566.8599999999996,1336641,13503,1,0.0,0.0,0.0,0.0,,,,,0.272222867005365,59
19,1788729066.9239235,1788729096.9239235,61,3,1,3,0,0,3,61,4,57,0.1,1008.1333333333333,45.13333333333333,321.5347349643707,321.5347349643707,321.5347349643707,321.5347349643707,0.9957264957264957,34712,0,347.4580760002136,81.90322520832221,128,43,18,211.78872507365782,220.70300960540771,375.2112483024597,390.49312594890597,67,0.11754385871496814,2465.2052435662035,25.801754180910994,0.4433535426658221,2.344485511651327,2.39253878179967,2.7481968843657474,3.0470319929414247,18.93103448275862,12.0,66.19999999999995,123.79999999999993,20972.641791044774,19880.0,30891.499999999996,32027.4,219.50746268656715,185.0,416.69999999999976,798.6800000000012,1405167,14707,1,0.0,0.0,0.0,0.0,,,,,0.2878286990064932,29
20,1788729096.9239235,1788729126.9239235,61,3,0,5,0,0,5,61,5,56,0.16666666666666666,0.0,41.53333333333333,0.0,0.0,0.0,0.0,0.0,35307,0,0.0,100.0,0,43,18,215.49958071443768,235.3343299627304,375.03747644424436,390.3074006056786,72,0.11999999909400941,2519.8183143089022,27.748333123835593,0.4488593315935685,2.341880511192885,2.376615734390191,2.744856746849206,3.0189335380331603,19.25,12.0,62.14999999999998,121.85000000000008,20998.48611111111,20068.5,30660.250000000004,32001.9,231.23611111111111,186.5,463.0500000000002,1069.8600000000008,1511891,16649,1,0.0,0.0,0.0,0.0,,,,,0.28219287834938844,0
