users	decode_tok_s	accept_len	accept_rate	out_tok_s
1	62.6	3.622	0.5244	12
8	28.3	3.547	0.5094	89
16	12.8	3.584	0.5168	101
32	4.6	3.409	0.4818	36
64	4.4	3.275	0.4551	38
128	4.4	3.328	0.4655	37
