start_time_ms,relative_time_sec,ttft_ms,tpot_ms,latency_ms,input_num_turns,input_num_tokens,output_num_tokens,output_num_chunks,output_num_first_chunk_tokens,approx_cached_percent,conversation_id,client_id,interactivity_tok_per_sec
1788727402462.579,0.000,158849.697,414.757,207790.979,1,18850,119,67,1,0.00,trace_0712,User-001,2.41
1788727402611.313,0.149,26646.559,434.227,123913.387,1,21916,225,134,1,0.00,trace_0714,User-003,2.30
1788727402657.760,0.195,31516.828,456.428,115499.547,1,18361,185,116,1,0.00,trace_0629,User-004,2.19
1788727402714.662,0.252,37190.207,445.538,95110.147,1,20311,131,82,1,0.00,trace_0568,User-005,2.24
1788727402747.748,0.285,5422.263,415.177,188930.551,1,13070,443,251,1,0.00,trace_0398,User-007,2.41
1788727402795.798,0.333,42740.614,452.394,214650.366,1,19408,381,232,1,0.00,trace_0707,User-008,2.21
1788727402825.616,0.363,8603.001,427.393,165456.109,1,12330,368,215,1,0.00,trace_0313,User-009,2.34
1788727402887.087,0.425,50039.665,452.632,360092.798,1,24258,686,417,1,0.00,trace_0694,User-011,2.21
1788727402955.609,0.493,56580.254,471.855,609122.786,1,22705,1172,745,1,0.00,trace_0704,User-016,2.12
1788727403030.975,0.568,179435.283,473.243,634222.258,1,28209,962,605,1,0.00,trace_0378,User-018,2.11
1788727403078.287,0.616,62093.876,451.398,175846.072,1,19031,253,153,1,0.00,trace_0587,User-019,2.22
1788727403119.009,0.656,66894.337,457.682,166668.956,1,16565,219,134,1,0.00,trace_0108,User-020,2.18
1788727403173.615,0.711,73287.250,454.287,152333.217,1,20881,175,105,1,0.00,trace_0562,User-023,2.20
1788727403219.477,0.757,78268.319,492.540,171851.009,1,18579,191,125,1,0.00,trace_0569,User-026,2.03
1788727403263.829,0.801,83857.674,503.787,174035.541,1,18429,180,120,1,0.00,trace_0579,User-029,1.98
1788727403309.844,0.847,90287.350,445.885,146468.825,3,20944,127,74,1,99.06,trace_0726,User-017,2.24
1788727403383.119,0.921,99710.572,392.313,146395.861,6,30062,120,62,1,99.36,trace_0588,User-025,2.55
1788727403447.175,0.985,108865.748,427.565,182406.861,20,28118,173,98,1,99.06,trace_0418,User-022,2.34
1788727403497.348,1.035,116168.703,439.693,222134.642,3,22910,242,142,1,96.99,trace_0253,User-013,2.27
1788727403571.858,1.109,126511.124,390.844,246890.929,8,31526,309,161,1,98.56,trace_0687,User-015,2.56
1788727403641.714,1.179,136778.083,406.663,244543.807,6,31170,266,145,1,88.71,trace_0396,User-006,2.46
1788727403765.978,1.303,143295.110,399.989,343289.621,4,21830,501,270,1,84.05,trace_0082,User-030,2.50
1788727403824.781,1.362,151680.164,422.652,242972.986,3,25893,217,123,1,98.02,trace_0266,User-021,2.37
1788727403933.766,1.471,10148.801,389.889,162985.101,1,11642,393,209,1,0.00,trace_0538,User-033,2.56
1788727403980.069,1.517,162318.392,456.094,277710.100,1,17666,254,155,1,0.00,trace_0164,User-034,2.19
1788727404016.649,1.554,14113.389,449.939,64506.610,1,14980,113,72,1,0.00,trace_0062,User-035,2.22
1788727404075.447,1.613,169081.019,453.450,383563.066,1,22967,474,290,1,0.00,trace_0615,User-036,2.21
1788727404113.284,1.651,18673.419,447.915,155735.413,1,15354,307,186,1,0.00,trace_0489,User-037,2.23
1788727405365.392,2.903,183602.278,443.693,346437.444,1,20442,368,220,1,0.00,trace_0661,User-038,2.25
1788727405546.109,3.084,191983.340,450.619,353755.467,1,27311,360,219,1,0.00,trace_0220,User-039,2.22
1788727405710.264,3.248,197568.702,378.303,587598.631,1,19520,1032,526,1,0.00,trace_0278,User-040,2.64
1788727412650.582,10.188,196312.989,450.667,341427.720,1,18596,323,194,1,0.00,trace_0570,User-041,2.22
1788727474591.443,72.129,139313.046,394.831,289743.773,2,16362,382,203,1,91.37,trace_0062,User-035,2.53
1788727512049.946,109.587,107735.492,466.513,178645.446,1,20351,153,95,1,0.00,trace_0582,User-042,2.14
1788727536670.121,134.208,93318.904,415.090,210374.244,2,30151,283,159,1,72.77,trace_0714,User-003,2.41
