timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788385547.373,0.000,0.00,0.00,0,0,422784,612527,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385548.392,1.019,1.61,0.00,1,0,422784,625597,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385549.405,2.032,1.85,0.00,1,7,422784,625597,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385550.417,3.045,1.96,0.00,1,7,422784,625597,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385551.429,4.056,2.09,0.00,2,6,422784,644448,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385552.443,5.070,2.09,0.00,2,6,422784,644448,0,0,612527,7487,0,28,0,0,0.000000,0.000000,189743,422784,0,189743,28,0.00,0.00
1788385553.460,6.087,2.61,0.00,2,6,422784,644448,0,0,625597,7488,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,0.98
1788385554.476,7.104,2.61,0.00,2,6,422784,644448,0,0,625597,7488,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,0.00
1788385555.489,8.116,2.84,0.00,2,6,422784,644448,0,0,625597,7490,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,1.98
1788385556.501,9.128,2.95,0.00,2,6,422784,644448,0,0,625597,7492,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,1.98
1788385557.514,10.141,3.19,0.00,2,6,422784,644448,0,0,625597,7495,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,2.96
1788385558.527,11.155,3.32,0.00,3,5,422784,666364,0,0,625597,7497,0,28,0,0,0.000000,0.000000,202813,422784,0,189743,28,0.00,1.97
1788385559.539,12.167,3.96,0.00,3,5,422784,666364,0,0,644448,7501,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,3.95
1788385560.552,13.180,4.07,0.00,3,5,422784,666364,0,0,644448,7504,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,2.96
1788385561.565,14.192,4.29,0.00,3,5,422784,666364,0,0,644448,7511,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,6.91
1788385562.579,15.206,4.41,0.00,3,5,422784,666364,0,0,644448,7515,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,3.94
1788385563.592,16.220,4.52,0.00,3,5,422784,666364,0,0,644448,7517,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,1.97
1788385564.605,17.232,4.64,0.00,3,5,422784,666364,0,0,644448,7520,0,28,0,0,0.000000,0.000000,221664,422784,0,189743,28,0.00,2.96
1788385565.619,18.246,5.24,0.00,4,4,422784,684724,0,0,666364,7525,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,4.93
1788385566.632,19.260,5.52,0.00,4,4,422784,684724,0,0,666364,7536,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,10.86
1788385567.644,20.272,5.64,0.00,4,4,422784,684724,0,0,666364,7542,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,5.93
1788385568.657,21.284,5.75,0.00,4,4,422784,684724,0,0,666364,7546,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,3.95
1788385569.670,22.298,5.98,0.00,4,4,422784,684724,0,0,666364,7556,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,9.87
1788385570.683,23.311,6.09,0.00,5,3,422784,705035,0,0,666364,7562,0,28,0,0,0.000000,0.000000,243580,422784,0,189743,28,0.00,5.92
1788385571.696,24.323,6.74,0.00,5,3,422784,705035,0,0,684724,7571,0,28,0,0,0.000000,0.000000,261940,422784,0,189743,28,0.00,8.89
1788385572.709,25.336,6.86,0.00,5,3,422784,705035,0,0,684724,7577,0,28,0,0,0.000000,0.000000,261940,422784,0,189743,28,0.00,5.92
1788385573.722,26.349,7.09,0.00,5,3,422784,705035,0,0,684724,7589,0,28,0,0,0.000000,0.000000,261940,422784,0,189743,28,0.00,11.85
1788385574.734,27.361,7.20,0.00,5,3,422784,705035,0,0,684724,7596,0,28,0,0,0.000000,0.000000,261940,422784,0,189743,28,0.00,6.91
1788385575.747,28.375,7.33,0.00,5,3,422784,705035,0,0,684724,7602,0,28,0,0,0.000000,0.000000,261940,422784,0,189743,28,0.00,5.92
1788385576.767,29.394,7.97,0.00,6,2,422784,724443,0,0,705035,7619,0,28,0,0,0.000000,0.000000,282251,422784,0,189743,28,0.00,16.67
1788385577.781,30.408,8.07,0.00,6,2,422784,724443,0,0,705035,7626,0,28,0,0,0.000000,0.000000,282251,422784,0,189743,28,0.00,6.90
1788385578.795,31.422,8.31,0.00,6,2,422784,724443,0,0,705035,7644,0,28,0,0,0.000000,0.000000,282251,422784,0,189743,28,0.00,17.76
