period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,in_flight_prefilling,in_flight_decoding,cumulative_ttft_avg,cumulative_ttft_p50,cumulative_ttft_p95,cumulative_ttft_p99,cumulative_requests_completed,cumulative_requests_per_second,cumulative_input_tokens_per_second,cumulative_output_tokens_per_second,cumulative_cache_hit_rate,cumulative_interactivity_avg,cumulative_interactivity_p50,cumulative_interactivity_p95,cumulative_interactivity_p99,cumulative_inter_turn_avg,cumulative_inter_turn_p50,cumulative_inter_turn_p95,cumulative_inter_turn_p99,cumulative_isl_avg,cumulative_isl_p50,cumulative_isl_p95,cumulative_isl_p99,cumulative_osl_avg,cumulative_osl_p50,cumulative_osl_p95,cumulative_osl_p99,cumulative_total_input_tokens,cumulative_total_output_tokens,conversations_finished,server_gpu_cache_hit_rate_avg,server_gpu_cache_hit_rate_p50,server_gpu_cache_hit_rate_p95,server_gpu_cache_hit_rate_p99,server_cpu_cache_hit_rate_avg,server_cpu_cache_hit_rate_p50,server_cpu_cache_hit_rate_p95,server_cpu_cache_hit_rate_p99,server_kv_cache_usage_current,time_remaining_s
1,1788383686.5124063,1788383716.5124063,16,0,0,0,0,0,0,16,16,0,0.0,0.0,10.466666666666667,0.0,0.0,0.0,0.0,0.0,6058,0,0.0,100.0,0,11,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.0735011773229487,569
2,1788383716.5124063,1788383746.5124063,16,0,0,1,0,0,1,16,1,15,0.03333333333333333,0.0,29.466666666666665,0.0,0.0,0.0,0.0,0.0,6354,0,0.0,100.0,0,6,10,6.2156970500946045,6.2156970500946045,6.2156970500946045,6.2156970500946045,1,0.01666666613684762,314.1833233457145,1.9833332702848667,0.0,4.60860694592954,4.60860694592954,4.60860694592954,4.60860694592954,0.0,0.0,0.0,0.0,18851.0,18851.0,18851.0,18851.0,119.0,119.0,119.0,119.0,18851,119,0,0.07477275157737141,0.0,0.403772858517805,0.7985729868463272,,,,,0.1337318118698303,539
3,1788383746.5124063,1788383776.5124063,13,3,0,4,0,0,4,13,1,12,0.13333333333333333,0.0,41.96666666666667,0.0,0.0,0.0,0.0,0.0,6556,0,0.0,100.0,0,3,10,18.57115650177002,19.16454029083252,29.208685493469236,30.120466537475586,5,0.05555555437817988,1019.6555339462379,11.422221980153784,0.0,4.013320047321931,3.690667649834789,4.895119105720597,4.952421537678808,0.0,0.0,0.0,0.0,18353.8,18851.0,21595.0,21851.8,205.6,185.0,339.4,362.28,91769,1028,0,0.056079563683028556,0.0,0.22431825473211423,0.762682066089188,,,,,0.14225683752943308,509
4,1788383776.5124063,1788383806.5124063,8,8,1,8,0,0,8,8,3,5,0.26666666666666666,632.8333333333334,92.73333333333333,60.67829203605652,60.67829203605652,60.67829203605652,60.67829203605652,0.0,6700,0,78.96024632453918,83.54994868238768,18944,0,8,41.98462632986215,35.94751286506653,83.69301037788391,86.47321835517883,13,0.1083333316114214,2232.3166311849495,26.916666238837777,0.28993649242794334,5.085282677226084,4.680988313587779,8.352885534567262,8.670482273144456,12.333333333333334,11.0,14.6,14.92,20606.0,19408.0,31312.8,31484.16,248.46153846153845,242.0,405.7999999999999,435.55999999999995,267878,3230,0,0.08939512184789322,0.0,0.8972730189284569,0.963474235687532,,,,,0.09612992815311239,479
5,1788383806.5124063,1788383836.5124063,13,3,1,7,1,1,6,13,11,2,0.23333333333333334,686.4333333333333,60.13333333333333,0.3444550037384033,0.3444550037384033,0.3444550037384033,0.3444550037384033,0.990625,8256,0,8.188658714294434,98.29402943452199,192,4,9,36.9229553937912,27.499096035957336,87.2295627117157,88.16120661735535,20,0.13333333163791236,2710.166632205116,34.71333289193048,0.3775787621941468,10.714822902850552,5.584969980109025,33.8060452921758,42.235937098374485,15.857142857142858,11.0,36.29999999999998,43.259999999999984,20326.25,19708.0,31187.85,31459.17,260.35,233.5,455.00000000000017,637.3999999999996,406525,5207,0,0.19156492862293675,0.0,0.9510615075452052,0.9849290654308347,,,,,0.12754935700054337,449
6,1788383836.5124063,1788383866.5124063,2,14,8,17,4,4,13,2,2,0,0.5666666666666667,5387.2,115.8,10.818953573703766,11.792049169540405,19.322327077388763,19.797276198863983,0.5464041783848935,8646,0,169.32534646987915,64.7238861521085,72256,1,1,27.399461275822407,16.52019715309143,82.53459038734434,87.95281258583069,37,0.20555555337741052,4205.944399876654,58.39444382567465,0.437435809654228,12.824630706411094,8.088221585752933,44.101289946754626,47.9805546889903,21.647058823529413,11.0,64.39999999999993,126.47999999999999,20461.35135135135,20375.0,30355.599999999995,31398.48,284.0810810810811,205.0,739.7999999999988,1089.88,757070,10511,0,0.27594231474260283,0.0,0.9874574115039174,0.9891276412272091,,,,,0.02526112419247717,419
7,1788383866.5124063,1788383896.5124063,13,3,1,2,1,1,1,13,12,1,0.06666666666666667,483.3,47.56666666666667,2.9764647483825684,2.9764647483825684,2.9764647483825684,2.9764647483825684,0.9866666666666667,10078,0,18.96859860420227,96.04820862412453,192,2,11,26.07859121224819,14.199546813964844,81.95538039207459,87.92829564094544,39,0.18571428402751483,3774.890441904609,51.0904757264412,0.4623620760114426,12.541922301574678,7.870313462321376,44.07102493385843,47.86689391901947,22.0,11.0,54.69999999999979,124.54000000000002,20326.333333333332,20375.0,30253.800000000003,31391.34,275.1025641025641,202.0,711.4000000000004,1086.0399999999995,792727,10729,0,0.35815359372166217,0.0,0.9855914757952939,0.989127069845418,,,,,0.151289017690032,389
8,1788383896.5124063,1788383926.5124063,15,1,5,15,3,3,12,15,14,1,0.5,3937.8,106.46666666666667,5.9955822944641115,4.8722124099731445,10.575901794433593,11.676633987426758,0.7276688453159041,11854,0,83.18319845199585,82.67016698916754,32000,4,11,20.251434096583612,11.83867073059082,74.68102227449411,87.74441855430602,54,0.22499999821186067,4667.087462909321,57.854166206883065,0.5272150072150072,12.377398785426685,8.571712430655014,41.38000645347299,47.014438144238355,18.2,11.0,44.55,113.87000000000009,20742.61111111111,20501.0,29709.349999999995,31337.79,257.1296296296296,196.0,561.4499999999989,1057.2399999999998,1120101,13885,0,0.39695470482666123,0.0,0.9835186097677348,0.9891266023512253,,,,,0.13918976030912278,359
9,1788383926.5124063,1788383956.5124063,15,1,0,3,0,0,3,15,3,12,0.1,0.0,49.233333333333334,0.0,0.0,0.0,0.0,0.0,12433,0,0.0,100.0,0,1,14,19.39685224650199,11.175183057785034,73.13598809242244,87.70764313697815,57,0.21111110961976856,4404.696265180402,55.162962573277774,0.5387165136119111,12.17956381741164,8.749881457788756,40.76598642251394,46.843946989282124,17.78125,11.0,44.45,111.93000000000012,20864.35087719298,20593.0,29707.199999999997,31327.079999999998,261.29824561403507,201.0,615.7999999999996,1051.4799999999996,1189268,14894,0,0.3834269089932375,0.0,0.9847649637571075,0.98912629068843,,,,,0.1743403972710258,329
10,1788383956.5124063,1788383986.5124063,12,4,9,24,10,10,14,12,11,1,0.8,8137.633333333333,230.3,1.9305265816775234,0.6510052680969238,7.898798227310181,13.122960710525517,0.9646624472573839,13862,0,101.74058938026428,78.8040438791116,8576,8,4,14.906338709372061,6.499288082122803,65.62098240852356,87.4134397983551,81,0.2699999982833862,5592.416631111039,73.20666620123122,0.5957176416220588,14.6134114186012,9.231349783221154,39.94729304790189,45.48001774963235,15.64,11.5,37.69999999999996,94.4699999999998,20712.654320987655,20409.0,30152.0,31624.2,271.1358024691358,217.0,599.0,1005.4000000000005,1677725,21962,0,0.4404876148488791,0.39205673952533493,0.9865688932110831,0.9896602156012906,,,,,0.06683571816699874,299
11,1788383986.5124063,1788384016.5124063,9,7,3,7,0,0,7,9,4,5,0.23333333333333334,2108.9,70.7,13.003393173217773,11.962355852127075,15.909679388999939,16.260552592277527,0.9877675840978594,14084,0,86.17494583129883,82.04688628514609,768,0,9,14.383744364435023,6.540831208229065,63.891040778160054,87.32763049125671,88,0.26666666512537485,5550.009058830902,73.6393935137697,0.6235497408047396,14.174157916363846,9.195313608483431,39.38013597555549,45.08220505473445,15.105263157894736,11.0,32.79999999999994,87.67999999999978,20812.534090909092,20517.5,30174.1,31590.179999999997,276.14772727272725,214.5,653.5999999999992,1170.9599999999996,1831503,24301,0,0.4622688598155971,0.4407861582395431,0.9864334239052825,0.9895403556659885,,,,,0.11896395580510777,269
12,1788384016.5124063,1788384046.5124063,5,11,8,18,10,10,8,5,4,1,0.6,7027.866666666667,140.4,4.27874526977539,4.3818910121917725,6.250828838348387,6.545786685943604,0.837997512437811,14654,0,143.76880812644958,70.04816497365634,33344,1,4,13.221251768885919,6.014809608459473,59.64583611488342,86.8786653518677,106,0.2944444428844217,6228.1721892241785,79.50833291208303,0.6458513521305426,14.769840322079112,10.253410272020957,39.542180853368755,44.32827754347608,50.68055555555556,11.5,44.45,847.8600000000152,21152.283018867925,20730.5,30420.5,31509.15,270.02830188679246,214.5,585.5,1149.4000000000005,2242142,28623,0,0.48030324574879607,0.5255352758040086,0.9866463042429692,0.9893862500348859,,,,,0.056680553039908266,239
13,1788384046.5124063,1788384076.5124063,9,7,6,10,6,6,4,9,8,1,0.3333333333333333,4768.066666666667,121.3,1.7373129980904716,0.760523796081543,4.637193250656128,4.764569768905639,0.8686730506155951,15592,0,76.06207513809204,84.15373434623082,18432,2,7,12.35259673513215,5.76153838634491,57.58092427253723,86.29945535659786,116,0.29743589598124626,6324.1486870195995,81.66153806216148,0.6613533282646882,15.870357949607076,10.845568349639063,40.45462796586685,44.29801253057988,46.7625,11.0,44.05,653.1399999999848,21262.224137931036,20730.5,30541.5,31628.149999999998,274.55172413793105,218.0,620.0,1138.4499999999991,2466418,31848,0,0.4984827904816022,0.6690500176819683,0.9871975455830164,0.989305115469819,,,,,0.10292821348789472,209
