timestamp_sec,relative_time_sec,kv_cache_usage_pct,cpu_kv_cache_usage_pct,num_requests_running,num_requests_waiting,prefix_cache_hits,prefix_cache_queries,cpu_prefix_cache_hits,cpu_prefix_cache_queries,prompt_tokens_total,generation_tokens_total,num_preemptions_total,request_success_total,kv_offload_bytes_gpu_to_cpu,kv_offload_bytes_cpu_to_gpu,kv_offload_time_gpu_to_cpu,kv_offload_time_cpu_to_gpu,prompt_tokens_local_compute,prompt_tokens_local_cache_hit,prompt_tokens_external_kv_transfer,prefill_kv_computed_tokens_sum,prefill_kv_computed_tokens_count,interval_cache_hit_rate_pct,interval_throughput_tok_per_sec
1788387661.263,0.000,2.19,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788387662.275,1.012,2.82,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788387663.286,2.023,2.92,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788387664.301,3.038,3.10,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788387665.310,4.046,2.72,0.00,1,0,0,18851,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,0,0.00,0.00
1788387666.326,5.063,1.16,0.00,1,0,0,18851,0,0,18851,11,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,10.82
1788387667.339,6.076,1.16,0.00,1,0,0,18851,0,0,18851,61,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,49.36
1788387668.352,7.089,1.16,0.00,1,0,0,18851,0,0,18851,112,0,0,0,0,0.000000,0.000000,18851,0,0,0,0,0.00,50.36
1788387669.360,8.097,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,6.94
1788387670.373,9.110,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387671.386,10.122,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387672.398,11.134,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387673.409,12.146,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387674.421,13.158,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387675.433,14.169,0.00,0.00,0,0,0,18851,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387676.445,15.182,2.19,0.00,1,0,0,40767,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
1788387677.458,16.194,2.74,0.00,1,0,0,40767,0,0,18851,119,0,1,0,0,0.000000,0.000000,18851,0,0,18851,1,0.00,0.00
